Title,Keyword,개봉일(yyyymmdd)
해킹 헌터: 마인드 컨트롤,해킹 헌터 마인드 컨트롤,20191122
나를 찾아줘,나를 찾아줘,20191127
러브 앳,러브 앳,20191127
오피셜 시크릿,오피셜 시크릿,20191127
카센타,영화 카센타,20191127
크롤,영화 크롤,20191127
허슬러,영화 허슬러,20191127
녹차의 중력,녹차의 중력,20191128
대가리2:학교무림,대가리2 학교무림,20191128
분노는 말이 없다,분노는 말이 없다,20191128
삼촌,영화 삼촌,20191128
수퍼 디스코,수퍼 디스코,20191128
앵커,영화 앵커,20191128
어메이징 그레이스,영화 어메이징 그레이스,20191128
우리를 갈라놓는 것들,우리를 갈라놓는 것들,20191128
집 이야기,영화 집 이야기,20191128
행동하는 양심 김대중,행동하는 양심 김대중,20191128
싸움의 기술,싸움의 기술 2019,20191129
포레스트 헌터스 워,포레스트 헌터스 워,20191203
감쪽같은 그녀,감쪽같은 그녀,20191204
나이브스 아웃,나이브스 아웃,20191204
너의 여자친구,너의 여자친구,20191204
아직 사랑하고 있습니까?,아직 사랑하고 있습니까,20191204
굿 라이어,굿 라이어,20191205
극장판 타오르지마 버스터-블랙어썰트의 귀환,극장판 타오르지마 버스터,20191205
라스트 크리스마스,영화 라스트 크리스마스,20191205
어웨이크너: 히어로의 탄생,어웨이크너 히어로의 탄생,20191205
파비안느에 관한 진실,파비안느에 관한 진실,20191205
1944: 인간병기,1944 인간병기,20191206
스튜핏 영 하트,스튜핏 영 하트,20191209
매리,영화 매리,20191211
아내를 죽였다,아내를 죽였다,20191211
쥬만지: 넥스트 레벨,쥬만지 넥스트 레벨,20191211
1 더하기 3,1 더하기 3,20191212
10년,영화 10년,20191212
그날은 오리라,영화 그날은 오리라,20191212
더 보트,영화 더 보트,20191212
더 하우스,영화 더 하우스,20191212
드래곤 빌리지,영화 드래곤 빌리지,20191212
디아스포라의 노래: 아리랑로드,디아스포라의 노래 아리랑로드,20191212
디에고,영화 디에고,20191212
라 파미에,영화 라 파미에,20191212
라멘 덕후,영화 라멘 덕후,20191212
라스트 씬,영화 라스트 씬,20191212
사탄의 인형: 상속 받은 저주,사탄의 인형 상속 받은 저주,20191212
산타 앤 컴퍼니,산타 앤 컴퍼니,20191212
샐린저,영화 샐린저,20191212
속물들,영화 속물들,20191212
아스테릭스: 마법 물약의 비밀,아스테릭스 마법 물약의 비밀,20191212
영화로운 나날,영화로운 나날,20191212
월성,영화 월성,20191212
인투 더 애쉬,인투 더 애쉬,20191212
카운트 다운,영화 카운트 다운,20191212
깡패들,영화 깡패들,20191213
로빈: 살인자의 유혹,로빈 살인자의 유혹,20191216
할머니의 고양이 그리고 522걸음의 여행,할머니의 고양이 그리고 522걸음의 여행,20191217
시동,영화 시동,20191218
"미안해요, 리키",미안해요 리키,20191219
백두산,영화 백두산,20191219
블루 마이 마인드,블루 마이 마인드,20191219
신비아파트 극장판: 하늘도깨비 대 요르문간드,신비아파트 극장판: 하늘도깨비 대 요르문간드,20191219
탈출,영화 탈출,20191219
호흡,영화 호흡,20191219
공포의 묘지: 망자의 저주,공포의 묘지 망자의 저주,20191223
눈의 여왕4,눈의 여왕4,20191224
캣츠,영화 캣츠,20191224
프린스 코기,프린스 코기,20191224
와일드 라이프,영화 와일드 라이프,20191225
"고흐, 영원의 문에서",고흐 영원의 문에서,20191226
백두번째 구름,백두 번째 구름,20191226
천문: 하늘에 묻는다,천문 하늘에 묻는다,20191226
미드웨이,영화 미드웨이,20191231
