META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,SNSS_CTS,CINE21_CTSC_NM,CINE21_COMT_CTSC
MM1000251110,보희와 녹양,,A Boy and Sungreen,"꼭 뭘 해야 돼? 찾고 싶어서 찾는 거지!
모든 것이 두렵고 어려운 소심한 중학생 보희와, 두려운 것 하나 없는 씩씩하고 당찬 녹양.
한날한시에 태어난 둘도 없는 단짝★절친★베프  보희와 녹양의 좌충우돌 모험이 시작된다!",김성훈|김소미|박평식|이용철|이화정|임수연,"그리움은 걸음걸음마다, but…|보희와 녹양에게 좋은 어른이 되고 싶다|새싹채소 블루베리 샐러드 맛|우정과 성장은 이들처럼|이런 성장영화가 성장하길 기다렸다|초록의 나이, 괜찮아지는 법을 배우다"
MM1000251139,엘프: 사탄의 인형,,The Elf,"닉은 크리스마스이브에 있었던 사건 때문에 커다란 트라우마를 안고 살아가고 있다. 
고향을 떠나 살던 닉은 약혼녀 빅토리아와 결혼을 앞두고 할아버지가 하시던 장난감 가게에 찾아가게 된다. 오래 방치된 듯한 그곳에서 닉은 수상한 상자를 발견한다. 
상자를 열어본 닉은 섬찟한 느낌의 엘프 인형과 ‘나쁜 아이들 명단’을 갖게 되는데…",,
MM1000252716,지구 최후의 날 2019,,Sightings,"2년 전, 아내 릴리가 의문스러운 말을 남기고 집을 떠난 이후 톰은 딸과 단둘이 살고 있다. 
그런데 어느 날부터 톰의 목장에서 충격적인 살인 사건이 연이어 발생하면서 톰은 비로소 아내가 남긴 말의 의미를 깨닫는다. 
시시각각 닥쳐오는 괴물의 위협에 맞선 최후의 결전이 시작된다. 
도망칠 곳은 아무데도 없다!",,
MM1000253148,스트롱거,,STRONGER,"운명이 바뀐 그날, 그의 삶을 바꾼 기적같은 사랑
여자친구를 응원하기 위해 마라톤의 결승점에서 기다리던 ‘제프’(제이크 질렌할)는 폭발음과 함께 정신을 잃는다. 
병원에서 가까스로 깨어나 목소리뿐 아니라 전신을 움직일 수 없는 그는 종이에 “에린(타티아나 마슬라니)은?”이라며 그녀의 안부를 묻는다. 
천만다행 아무 이상 없는 그녀는 제프가 자기를 보러 왔기 때문에 벌어진 일이라고 자책하며 그의 곁을 지킨다. 
주위의 격려 덕분에 밝은 모습으로 사고를 이겨내는 듯 하지만 에린만은 제프의 본심을 알고 있는데…",김현수|박평식|이용철,담금질과 두드림의 조화|용기가 있어야 살 수 있다|전진이라는 힘겨움에 대하여
MM1000254416,마담 싸이코,,Greta,"함부로 친절하지 말 것!
소름돋는 역대급 싸이코가 온다
뉴욕에 살고 있는 젊은 여성 ‘프랜시스’는 지하철에서 주인 없는 핸드백을 줍는다. 
가방의 주인은 혼자 살고 있는 중년의 여인 ‘그레타’. 
  
엄마를 잃은 상실감에 빠져있던 프랜시스는 핸드백을 찾아주면서 그레타와 빠르게 가까워진다. 
저녁식사에 초대받은 프랜시스는 우연히 그레타가 핸드백을 미끼로 젊은 여성들과 친해진다는 소름끼치는 사실을 알게된다. 
  
그레타는 프랜시스를 집요하게 쫓아다니며 본색을 드러내기 시작하는데…",박평식|이용철|이주현,까발린 제목만큼 빈약한 후반|비오는 날 처음 보는 사람 앞에서 리스트를 두드릴 때 알아봤어야|사이코 행각이 거듭될수록 피로감만
MM1000255211,죽음을 거스른 사나이,,Mystery of Muye: Jin Baozi,"<죽음을 거스른 사나이>는 진나라의 승리를 이끈 절대 무기 점괘판을 둘러싼 예측불허의 액션 판타지	
판을 가진 자가 세상을 지배한다!
‘죽음의 운명’을 타고나 홀로 고립된 채 살가가던 ‘진 바오즈’
우연히 자신의 무술과 대등한 무인 ‘안 준디옌’을 만나 대륙을 지비했던 강대국 진나라의 절대 무기 점괘판에 대한 이야기를 듣게 되는데..
세상을 파괴하려는 자 VS 세상을 구하려는 자들의 예측불어 액션 판타지!",,
MM1000255498,북클럽,,Book Club,"겁은 많지만 호기심은 가득한 소녀감성, 다이앤 
연애는 쿨하게! 일은 뜨겁게! 호텔 CEO, 비비안 
내 남편의 속사정이 궁금한 불타는 청춘, 캐롤 
겉으로는 엄근진, 알고 보면 허당인 연방판사, 섀론 
라이프 스타일은 다르지만 20대부터 한결 같은 우정을 쌓아온 ‘북클럽’ 4인방 
우아하고 품격 있는 그녀들이 한 권의 특별한(?) 책을 만나면서 인생의 터닝포인트를 맞이하게 되는데…",김성훈|이용철,그 책 읽고 인생과 사랑 운운할 나이는 아니지 않나|늙어도 내 행복이 우선
MM1000255524,맨 인 블랙: 인터내셔널,,Men in Black: International,"이제부터 새로운 시작이야!
R U READY?

자신의 모습을 감추고 오랜 시간 지구를 위협해 온 외계인을 감시하는 MIB 본부.
MIB 본부에도 변화가 요구되면서 신입요원 에이전트 M이 영입되고 MIB 에이스 요원 에이전트 H가 듀오로 결성 된다!
그들에겐 MIB 내부의 스파이를 찾아야 하는 전대미문의 미션이 주어지는데…

지구가 너무 좁은 글로벌 콤비, 이번엔 외계인이다!",박평식|이용철|장영엽,스케일은 커지고 블랙 유머는 줄어들고|어색하게 우중충|인물을 바꾸어도 낡은 시리즈의 한계는 어쩔
MM1000255539,알리타: 배틀 엔젤,,Alita: Battle Angel,"모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철 도시로 나누어진 26세기. 
고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 의사 이도의 보살핌으로 새로운 삶을 시작한다. 
한편, 새로운 친구 휴고는 알리타가 위험한 고철 도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 
알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하고 자신이 착취와 약탈의 고철 도시를 구할 수 있는 열쇠임을 깨닫게 된 알리타는 가족과 친구, 새로운 세상을 위해 무시무시한 적들과 맞서게 되는데…",김현수|송형국|이용철|임수연|허남웅,"‘고유한 비트 이미지’ 포착에 기울인 심혈|과격한 비행이 로드리게즈 몫이라면, 안전한 착륙은 카메론 덕분?|사이보그 캐릭터의 특장점과 한계|오 나의 최종전사|제임스 카메론? 로버트 로드리게즈!"
MM1000256138,롱 리브 더 킹: 목포 영웅,,Long Live the King,"거대 조직의 보스로 거침 없이 살고 있는 ‘장세출’은 철거 용역으로 나간 재건설 반대 시위 현장에서 만난 강단 있는 변호사 ‘강소현’의 일침으로 그녀가 원하는 ‘좋은 사람’이 되기로 마음 먹는다.
모든 것을 내려놓고 새사람이 되기 위해 노력하던 ‘장세출’은 우연히 버스 추락 사고에서 온 몸으로 시민을 구하며일약 목포 영웅으로 떠오르게 되고, 예기치 못한 사건으로 국회의원에 출마하게 된다.
발로 뛰며 점점 시민의 마음을 움직인 ‘장세출’의 입지가 높아지자,목포에서 3선을 노리던 반대파 후보 ‘최만수’는 ‘장세출’을 눈엣가시로 여기고 그를 저지하기 위해 ‘장세출’의 라이벌 조직 보스 ‘조광춘’과 손을 잡고 음모를 계획하는데…",박평식|이용철|이화정,땟국에 찌든 플롯|올드하고 순진하다|조폭 시리즈의 귀환. 장르는 김래원멋짐멜로
MM1000256327,쁘띠 아만다,,Amanda,"널 만나서 정말 행복해
오늘의 행복을 찾아가는 치유의 여정
파리에서 민박집을 관리하는 스물네 살 ‘다비드’
어느 날 갑자기 누나 ‘상드린’이 세상을 떠나자
슬픔을 뒤로한 채 일곱 살 조카 ‘아만다’를 오롯이 책임져야 하는데...
평화로웠던 일상으로 돌아가려는 삼촌과 조카의 뭉클하면서도 씩씩한 발걸음이 시작된다. ",김혜리|박평식|이용철|임수연,"11·13 파리 테러, 세월호 사건, 동일본 대지진 이후 우리는|‘매직 랜턴’상이 썩 어울린다|나뭇가지를 치듯, 방을 치우듯 서서히 제자리로 돌아가는 시간|슬픔의 강, 어떻게 건너야 하는가"
MM1000256486,트리트 미 라이크 파이어,,Joueurs,"한 남자와 사랑에 빠진 여인 X 한 여자를 게임의 세계로 초대한 남자
자신이 일하는 레스토랑에 일자리를 달라고 당당히 요구하는 남자 아벨과 우연처럼 만난 엘라는 자유롭고 어딘지 위험해 보이는 아벨에게 운명처럼 강렬한 끌림을 느낀다.
한 남자를 끝까지 믿고 싶은 바보 같은 여인 X 한 여자를 지독히도 이용한 나쁜 새끼
마치 계획된 것처럼 아벨에게 이끌려 게임의 세계에 발을 들인 엘라는 시간이 갈수록 아벨의 모든 것에 중독된다. 
자신의 모든 것을 잃더라도 사랑을 지키고 싶었던 엘라는 자신을 이용한 아벨의 뒤를 쫓게 되는데…",이용철|이화정,"그 사랑, 안 부럽다만|프렌치 홍콩누아르. 뜨겁게 달린다"
MM1000257929,벤트: 마약의 도시,,Bent,"살고 싶다면 아무도 믿지 마라!
마약 비리 경찰을 조사하던 중 파트너 ‘찰리’를 잃고 수감된 전직 경찰 ‘다니엘’. 3년 후, 출소한 ‘다니엘’은 자신과 ‘찰리’의 누명을 벗기 위해 
조직의 보스 ‘드리스콜’에게 복수하고자 한다. 하지만, 동료 경찰을 죽인 비리 경찰로 낙인 찍혀 사방의 적이 자신을 노리고 있는 상황. 
유일하게 자신을 믿어주는 동료 경찰 ‘지미’와 우연히 알게 된 ‘레베카’의 도움으로 사건을 추적하지만 진실에 다가갈수록 그를 노리는 죽음의 그림자는 다가오는데…
모든 것을 잃은 남자의 처절한 복수가 시작된다!",,
MM1000258235,별의 정원,,Astro Gardener,"“어둠을 되찾아오지 않으면 모든 것이 사라지게 될 거야!”
어둠을 무서워하고 엄마와 사이도 좋지 못한 사춘기 도시 소녀 ‘수하’.
‘별 볼 일 없는 곳’이라 여긴 수하리의 외갓집에서 방학을 보내게 된 ‘수하’는 우주의 별이 담긴 ‘어둠의 돌’을 통해 별의 정원으로 들어가게 되고, 정원사 ‘오무’와 함께 사라질 위기에 처한 우주를 구하기 위해 떠나게 되는데…
그리운 아빠와 엄마에 대한 마음, 그리고 자신이 품은 어둠의 비밀과 마주하게 된 ‘수하’는 ‘오무’와 함께 빼앗긴 어둠을 되찾고 우주의 별들을 구할 수 있을까?",김성훈|송경원|장영엽,"로컬의 매력을 담은 국산 SF 애니메이션|상처를 마주하고 극복하는 법|어둠을 외면하지 않는, 밝은 이야기"
MM1000259292,에움길,,A Long Way Around,"꽃도 있고, 웃음도 있고, 할머니도 있고!
각양각색의 할머니들로 조용할 날이 없는 ‘나눔의 집‘ 
이곳에서 유쾌한 그녀들의 삶을 마주하다! 
노래를 너무나도 사랑하는 박옥선 할머니부터 자유분방한 강일출 할머니, 다재다능한 배춘희 할머니까지! 
이토록 정겨운 할머니들을 보았는가? 
고난과 역경의 길이 아닌 함께 걷는 따뜻한 길 
이옥선 할머니는 오늘도 살랑이는 꽃들과 마주한다.",이용철,기억이 최선이란 생각으로
MM1000259938,비스트,,The Beast,"누군가 범죄를 은폐해주는 대가로 뭘 받았다면 그게 뭘까? 그게 살인이라면 아주 큰 걸 받았겠지
대한민국을 뒤흔든 희대의 살인사건이 발생하고, 수단과 방법을 가리지 않고 범인을 잡아온 강력반 에이스 ‘한수’(이성민)는 후배 형사 '종찬'(최다니엘)과 범인을 잡기 위해 수사를 시작한다.
한편, 마약 브로커 '춘배'(전혜진)는 살인을 은폐해주는 대가로  '한수'에게 살인마에 대한 결정적인 단서를 제공하고 '한수'의 라이벌 형사 '민태'(유재명)가 이 사실을 눈치채면서 사건은 걷잡을 수 없는 방향으로 흘러가는데...!
 
살인마를 잡기 위해 살인을 감추다
누가 진짜 괴물인가?
WHO IS THE BEAST?",이용철|이화정|장영엽,‘암굴왕’이 하수구로 빠지는 데는 긴 시간이 필요하지 않다|궁지로 몰아붙여 갈 곳을 잃은|시리즈의 스케일을 담은 서사. 관객의 시선은 어디로
MM1000259949,김군,,KIM-GUN,"1980년 5월, 광주 도심 곳곳에서 포착된 한 남자.
군용 트럭 위 군모를 쓰고 무기를 든 매서운 눈매.
군사평론가 지만원은 그를 북한특수군 ‘제1광수’로 명명하고, 누군가는 그를 한동네에 살았던 ‘김군’이라고 기억해내는데…
 
사진 한 장으로부터 시작된 광주의 진실이 밝혀진다.",김성훈|박평식|이용철|이화정|임수연,"5·18을 겪지 않은 세대가 광주를 다루는 방법|끝나지 않은 5월 광주… 전두환을 다시 소환하라|두눈 뜨고 살아 있다, 거짓으로 덮으려는 것들은 수치라도 배워라|분노와 기억, 기억과 분노|서스펜스의 형식 속 찾아낸 청년 ‘김군들’의 역사"
MM1000260571,우리는 언제나 성에 살았다,,We Have Always Lived in the Castle,"""더 이상 나쁜 일은 일어나지 않을 거야”

내 이름은 메리 캐서린 블랙우드. 나이는 18살. 콘스탄스 언니와 산다. 
블랙우드 가족은 계속 이 집에 살았고 그 누구에게도 해를 끼친 적 없다. 
그들이 뭐라고 해도, 그들이 무슨 짓을 해도. 우린 절대로 이곳을 떠나지 않을 것이다. 
하지만 변화가 다가오고 있다. 그러나 아무도 모른다. 나 말고는.  목요일. 그 남자가 찾아왔다.",박평식|이다혜|이용철,"불길한 아름다움을 더 끝까지 밀어붙였다면|제목이 무슨 죄겠나, 혹한 내가 바보지|증오, ‘가장 오래 지속되는 쾌락’"
MM1000260661,갤버스턴,,Galveston,"지옥 속을 살고 있는 ‘로이’(벤 포스터)는 한 사건을 계기로  지옥에서 벗어나고 싶어하는 소녀 ‘록키’(엘르 패닝)를 만난다.
로이는 유독 자신의 눈빛을 닮은 록키에게 희망을 선물하고 싶지만, 록키의 동생 '티파니'와 관련된 비밀이 밝혀지면서 셋은 점점 위험한 상황에 빠지게 되는데…
세상의 끝 마지막 낙원, 갤버스턴. 로이와 록키는 과거의 족쇄를 끊을 수 있을까?",박평식|이용철,누구에게나 ‘위대한 유산’은 있다|짚신에 왁스칠
MM1000260823,컨저링 하우스,,Hide in the light,"한 무리의 도시 탐험가들은 언뜻 보기에도 낡고 아무도 살 것 같지 않은 버려진 고아원에 침입한다. 
고아원에 들어선 순간부터 느껴지는 불길한 기운! 
그들은 한 소녀가 자신들을 노리고 있음을 알아차린다. 
이제 탐험가들의 목숨을 건 어둠 속 게임이 시작된다.
",,
MM1000263167,어글리 돌,,UglyDolls,"못생겨서 더 사랑스러운 ‘어글리 돌’의 씽~나는 무한도전이 시작된다!
춤과 노래가 멈추지 않는 행복 마을 ‘어글리 빌’에 사는 사랑둥이 인싸돌 ‘모씨’는 마을 바깥에 어떤 세상이 있을지 늘 궁금해한다. 
모씨는 친구 ‘어글리 독’, ‘웨이지’, ‘럭키 뱃’, ‘바보’와 함께 파이프 건너편으로 모험을 떠나기로 결심하고 외모도 성격도 너무 완벽한 ‘퍼펙션 스쿨’의 ‘루’와 ‘맨디‘를 만나 새롭고 짜릿한 세상을 경험한다!
퍼펙션 스쿨에서 최고의 애착 인형이 되기 위한 스파르타 수업에 몰두하던 이들은 인형들의 숨겨진 진실을 마주하고 마는데… 
어글리 돌의 씽~얼롱 어드벤처가 시작된다!",이다혜,귀여운 캐릭터와 신나는 노래는 좋다
MM1000263910,칠드런 액트,,The Children Act,"나의 결정이 소년의 최선이길
존경 받는 판사 피오나는 결혼생활의 위기를 맞은 가운데, 치료를 거부한 소년 애덤의 생사가 달린 재판을 맡게 된다.
이틀 안에 치료를 강행하지 않으면 목숨이 위태로운 상황에서 애덤의 진심을 확인하고 싶었던 피오나는 병원으로 직접 찾아가고, 그날의 만남은 두 사람의 삶에 예기치 않은 파장을 일으키는데……",김혜리|박평식|이용철|이화정,에마 톰슨 본색. 동요(動搖)조차 단정하다|육신의 수혈과 영혼의 출혈|전능할 수는 없으니|전환기의 격랑. 굳건한 흔들림을 드러내는 에마 톰슨만의 표정
MM1000263927,13년의 공백,,blank 13,"“아버지가 너무 싫습니다. 그런데, 조금은 좋아하는 것 같기도 합니다.”
담배를 사러 다녀 오겠다는 아버지는 그렇게 돌아오지 않았다.
엄마는 아버지 대신 일을 나가고, 형은 엄마 대신 내 도시락을 준비했다.
원망과 그리움이 한 데 섞인 13년이 흐른 지금, 아버지와의 틈을 메우지 못한 채 아주 오랜만에 그를 마주한다.",박평식|이용철|이주현,멋진 배우의 사랑스러운 연출 데뷔|야속하고 짓궂고 따뜻한 당신|진지하게 웃긴 다음 성찰하게 만드는 놀라운 내공
MM1000264495,천로역정: 천국을 찾아서,,The Pilgrim's Progress,"희망도, 기쁨도 없는 멸망도시에서 살아가던 ‘크리스천’은
어느 날, 한 권의 책을 통해 천국도시가 존재하며,
곧 멸망도시가 불바다로 변할 것이라는 사실을 알게 된다.

바깥세상은 죽음뿐이라는 모두의 만류를 뒤로하고
‘크리스천’은 천국도시를 찾아서 모험의 길로 접어 드는데…",이화정,"복음, 전파 맞춤형 프로젝트"
MM1000264507,국경의 왕,,The King of the Border,"모든 모험은 조금 낯설게 시작되고 낯선 경험은 모두 갑자기 출발한다
영화를 공부했던 유진은 오래된 친구를 만나러 폴란드에 왔다. 
영화를 공부했던 동철도 오래된 친구를 만나러 우크라이나에 왔다. 
그들은 홀로 유럽을 여행하다가 각자의 도시에 머무르게 되었고, 며칠 뒤 그곳에 오기로 했다는 각자의 대상을 기다린다. 
기다림의 며칠간, 유진과 동철은 도시를 여행하며 낯선 거리와 뜻 밖의 사람, 맛있는 술, 피어나는 꽃, 오래된 예술품들 그리고 낯선 유령들과 만난다.",김소미|이용철,"기억하라 임정환, 두번 봐라 <국경의 왕>, 찾아 봐라 <라오스>|하나가 죽어서 하나를 살리는, 영화와 현실의 연결고리처럼"
MM1000264533,조,,Zoe,"커플들의 연애 성공률을 예측해주는 연구소에서 일하는 그녀 ‘조’는 함께 일하는 ‘콜’에게 사랑의 감정을 느끼게 된다. 
하지만 ‘콜’과의 연애 성공률이 ‘0퍼센트’라고 나오자 결과를 믿을 수 없던 ‘조’는 ‘콜’에게 자신의 마음을 고백한다.
그리고 ‘조’는 곧 충격적인 대답을 듣게 되는데… 
“조, 그건 당신이 내가 만든 로봇이기 때문이야”

인간을 사랑하게 된 그녀 ‘조’
이 사랑도 설계된 건가요?",김송희|이용철,"도리머스의 이상한 연작들, 미래형 멜로의 답은 아닐지라도|로봇이 된 피그말리온"
MM1000264926,이케아 옷장에서 시작된 특별난 여행,,The Extraordinary Journey Of The Fakir,"옷장에서 하룻밤 신세 좀 지겠습니다!
이케아 매장에 가보는 것이 인생 유일한 목표인 파텔은 위조 지폐 100유로를 들고 무작정 낭만의 도시 파리로 떠난다. 
파리에 도착하자마자 이케아를 향해 직진! 그 곳에서 운명처럼 ‘마리’를 만나 첫 눈에 사랑에 빠진다. 
  
그날 밤, ‘마리‘와의 설레는 데이트를 상상하며 옷장 속에서 잠이 드는데... 
  
눈 떠보니 런던? 
 
이케아 옷장에 실려 뜻밖의 세계 여행을 시작하게 된 파텔! 
그의 신박한 여행은 파리에서 런던, 바르셀로나, 로마 그리고 트리폴리로 이어지는데… 

기상천외! 예측불허! 
특별난 여행이 시작된다!",박평식|이용철|장영엽,"무거운 소재, 가벼운 터치|오두방정 컬러풀 투어|판타지인 줄 알았는데 교훈극이었어"
MM1000264987,쿵푸몬스터: 무림괴수전,,kung fu monster,"괴수를 생포하는 자에게 은자 3만 냥을 내리겠다.

사라진 복돌이를 찾아라! 정체불명의 괴수를 잡기 위해 싸우는 무림 고수들! 
한편, 우연히 화전역에서 만난 강도단과 의적, 그리고 의문의 무림 고수는 조정의 은자 3만냥을 가로채기 위해 갖가지 특급 작전을 펼친다. 
하지만 결국 동창의 제독에게 들켜서 죽을 위기에 처하는데…
치명적인 매력을 가진 최강 몬스터 복돌이! 과연 복돌이와 무림 고수들의 운명은?",,
MM1000265716,던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-,,Is It Wrong to Try to Pick Up Girls in a Dungeon? -Arrow of the Orion-,"미궁도시 오라리오 ？ ‘던전’이라는 이름의 웅장한 지하 미궁을 보유한 거대 도시.
신과 인간이 공존하는 이곳에서, 벨 크라넬이라는 소년은 조그만 여신 헤스티아를 만났다.
그리고 그 인연으로 여신의 권속이 되는 계약을 맺은 그는, 영우에 대한 동경심을 가슴에 품은 채 모험의 나날을 보내게 되었다.
시간이 흘러 미궁도시가 푸르게 빛나던 ‘신월제’의 밤, 벨은 선택된 자만이 뽑을 수 있다는 전설의 창을 뽑는다.
곧이어 그의 앞에 나타난 한 명의 여신, 그리고 소년에게 맡겨진 새로운 모험인 ‘미션’.
목적지는 오라리오에서 아득히 멀리 떨어진 절경이었다. 
“비극의 히로인 따윈 어디에도 없어. 모두를 구하고 말겠어.”
이것은 운명의 선택을 받은 소년과, 달밤에 강림한 여신이 엮어내는 ‘약속의 이야기’ ？ [파밀리아 미스]",,
MM1000265729,꼬마 물고기 이자벨: 바다 대모험,,Izzie's Way Home,"잃어버린 아빠와 친구를 찾아 떠난 첫 바다!

아쿠아리움에서 아빠와 오순도순 지내던 꼬마 물고기 '이자벨'
독특한 외모로 인해 바다에 버려지게 되고,
바다 속에는 어마무시한 물고기들이 위협하는데…

과연, '이자벨'은 무사히 바다를 건너 
아쿠리아움으로 갈 수 있을까?",,
MM1000265922,나이트메어 시네마,,Nightmare Cinema,"늦은 밤, 버려진 극장으로 홀린 듯 들어간 다섯 명의 낯선 이들. 
그림자들 속에 숨어 있는 의문의 영사기사가 틀어주는 자신의 내면 속 가장 깊고 어두운 공포의 이야기와 마주하게 되는데… 
살고 싶어? 어디 한번 도망쳐봐!",박평식|이나경|이용철,"Dead can dance|시도는 좋았으나 작품별 편차가 아쉽다|악몽 하나, 개꿈 넷"
MM1000265943,난폭한 기록,,Fist & Furious,"한 놈은 잡고, 한 놈은 찍는다!
머리에 칼날이 박힌 채 살아가는 난폭한 전직형사와 특종킬러 VJ의 지독한 동행취재!
특종 냄새는 귀신같이 맡는 집념의 프리랜서 VJ '국현'(류덕환)은 자극적인 취재거리를 찾던 중 머리에 칼날이 박힌 채 살아가는 전직형사 ‘기만’(정두홍)의 이야기가 대박 아이템임을 직감한다
폐인 같은 삶을 살고 있던 ‘기만’은 ‘국현’의 집요한 설득 끝에 동료형사를 죽이고 자신에게 칼날을 박아놓은 마약조직보스 ‘정태화’에 대한 복수를 기록한다는 조건하에 동행취재를 허락한다.
악인들을 향한 통쾌한 복수, 거침없는 리얼 액션이 폭발한다!",김성훈|박평식|이용철,"물레방아 돌릴 적에나|역시 몸으로 하는 건 눈을 속일 수 없다|열심히 만든 티는 난다, 1번"
MM1000265972,발광하는 현대사,,,"한 사람의 결혼으로 관계가 끝난 줄 알았던 섹스파트너 ‘현대’와 ‘민주’.
하지만 멈출 수 없는 욕망에 성적으로 타락해가는 ‘현대’와가질 수 없는 것에 대한 욕망을 포기하지 못하는 ‘민주’,
그리고 두 사람과 복잡하게 얽힌 인물들의 적나라하고 추악한 욕망까지…
‘섹스’에 ‘발광’하는 혼돈의 현대사!
추악한 욕망 속에 숨겨진 자극적이고도 씁쓸한 이야기가 시작된다.",,
MM1000265996,마리아 칼라스: 세기의 디바,,Maria by Callas: In Her Own Words,"오페라보다 드라마틱한 인생
노래가 끝나면 삶이 시작된다!

뛰어난 곡 해석력과 마음을 울리는 연기로 전설이 된 디바 칼라스
하지만 화려한 무대를 내려오면 사랑하는 사람에게 사랑받고 싶었던 그녀, 마리아
모두가 사랑했지만 끝내 고독했던 디바의 일생이 공개된다!",박평식|이다혜|이용철,"같은 시대를 살았음에 자랑스러워지는, 진정한 전설|노래의 날개 위에 영원히|세기의 열정과 통증"
MM1000266003,쿵푸 파이터,,innerself,"27년 간 외톨이로 지내온 에드는 늘 자신을 괴롭히던 션에게 복수하겠다고 결심한다. 
언제나 동경만 하던 쿵푸를 직접 배우기 위해 은둔 고수를 찾아간 에드! 
과연 그는 쿵푸 마스터로 거듭나 자신의 복수를 끝마칠 수 있을까. 
이제 쿵푸의 액션 역사가 다시 쓰여진다.",,
MM1000266020,애나벨 집으로,,Annabelle Comes Home,"“애나벨이 그 집의 모든 악령을 깨웠다” 

퇴마사 워렌 부부는 저주 받은 인형 애나벨을 발견하고 집에 있는 오컬트 뮤지엄 진열장에 격리시킨다. 
또 다른 초자연적인 현상을 연구하기 위해 워렌 부부가 떠난 사이, 집에 남아있던 10살 딸 주디와 베이비시터는 ‘절대 들어가지 말라’는 경고를 무시한다.
탈출한 애나벨은 모든 악령들을 깨우고, 잊을 수 없는 공포의 밤을 준비하는데…

""이번엔 내가 찾아갈게""",박평식|장영엽,놀이공원 ‘귀신의 집’에 간 듯한 기분|찌꺼기 조림
MM1000266962,기방도령,,HOMME FATALE,"불경기 조선, 폐업 위기 연풍각을 살려야 한다!
""기왕지사 이리 된 김에 사업을 해보는 게 어떻겠소? 내가 기생이 되겠단 말입니다!""
수려한 용모와 뛰어난 기예, 여심을 꿰뚫어 보는 타고난 천성의 꽃도령 ‘허색’.
그는 자신이 나고 자란 기방 ‘연풍각’이 폐업 위기에 처하자 조선 최초의 남자 기생이 되기로 결심한다.
기방결의로 맺어진 25세 괴짜 도인 ‘육갑’과 함께 기획부터 홍보까지 환상의 호흡을 자랑하며 단숨에 조선 최고의 여심스틸러로 등극한 ‘허색’.
입소문이 번지며 조선 사대부 여인들의 마음이 두근거리기 시작한다.
그러나, 승승장구한 것도 잠시 예기치 못한 인물의 등장으로 잘 나가던 ‘허색’의 사업은 삐거덕거리기 시작하는데...",김소미|박평식|이용철,아이돌과 순정 사극의 천생연분|이런 귀여운 재간둥이 같으니|착오에서 착란으로
MM1000267010,어벤져스: 엔드게임,,Avengers: Endgame,"시리즈 대망의 파이널, 이것은 시작을 위한 끝이다!

인피니티 워 이후 절반만 살아남은 지구.
마지막 희망이 된 어벤져스.
먼저 떠난 그들을 위해 모든 것을 걸었다!

위대한 어벤져스, 운명을 바꿀 최후의 전쟁이 펼쳐진다!",박평식|송형국|이용철|임수연|장영엽|허남웅,"감정이 강점을 앞서나갔다|넋 놓고 본 재미있는 구경거리|뜨거운 안녕의 끝에서 열렬한 환영의 시작으로|어떤 인물을 지지하는가에 따라 달리 보일 결말|지상 최대의 팬 이벤트, ‘최애’에 따라 감상이 갈릴 것|회고전의 뒤풀이가 끝나갈 때"
MM1000269035,한낮의 피크닉,,Jam-si Swi-eo-ga-do Joa,"누군가 곁에 있어 괴롭고 곁에 있어 행복한 모두의 오늘에 만나는 뜻밖의 여행록”
  
함께 있으면 괴롭지만 자꾸만 신경 쓰이는 가족과의 예기치 못한 캠핑 여행, 막막한 미래와 잔뜩 구겨진 인생 속 청춘들의 치기 어린 여행 
혼자여도 괜찮은 줄만 알았던 나를 찾아가는 여행까지… 
  
활기 가득한 여름의 맛, 당신도 지금은 떠나야 할 시간!",김성훈|이용철|이주현,"다퉈야 진짜 여행이지|발견의 기쁨은 계속된다|친하다면 자주 보자, 말만 하지 말고"
MM1000269407,극장판 엉덩이 탐정: 화려한 사건 수첩,,Butt Detective The Movie,"평화로운 오후의 찻집, 엉덩이 탐정과 조수 브라운이 티타임을 즐기고 있을 때, 
큰 쇼핑백을 든 뿌우람 씨가 들어온다. 
마을에 새롭게 오픈하는 카레 가게의 사장인 뿌우람 씨는 
카레 요리에 빠지면 안 되는 중요한 향신료 ‘알알살라’가 사라진 것을 알게 된다!
“그게 없으면 카레를 만들 수 없어. 가게를 열 수 없어!” 
충격으로 쓰러진 뿌우람 씨를 보고 엉덩이 탐정이 일어난다. 
“저에게 맡겨 주십시오!”
과연 엉덩이 탐정은 ‘화려한’ 추리로 사라진 향신료의 수수께끼에 다가설 수 있을까?",이화정,"유익한 추리, 유쾌한 엉덩이 발사"
